"npc_petri_creep_special6"
{
  "BaseClass"         "npc_dota_creature"
  "Model"           "models/creeps/neutral_creeps/n_creep_satyr_a/n_creep_satyr_a.vmdl"
  "ModelScale"        "1.2"
  "SoundSet"          "Creep_Good_Melee"  
  "Level"           "3"
  "HealthBarOffset"     "140"

  "vscripts"     "units/creep.lua"

  

  "ArmorPhysical"       "0"
  "MagicalResistance"     "0"

  "AttackCapabilities"    "DOTA_UNIT_CAP_MELEE_ATTACK"
  "AttackDamageType"      "DAMAGE_TYPE_ArmorPhysical"
  "AttackDamageMin"     "8000000.0"
  "AttackDamageMax"     "8500000.0"
  "AttackRate"        "0.15"
  "AttackAnimationPoint"    "0.18"
  "AttackAcquisitionRange"  "800"
  "AttackRange"       "90"

  "BountyGoldMin"       "1250.0"
  "BountyGoldMax"       "1250.0"
  "BountyXP"          "20000"  

  "BoundsHullName"      "DOTA_HULL_SIZE_SMALL"
  "RingRadius"        "50"
  
  "MovementCapabilities"    "DOTA_UNIT_CAP_MOVE_GROUND"
  "MovementSpeed"       "270"
  "MovementTurnRate"      "0.5"

  "StatusHealth"        "255425"
  "StatusHealthRegen"     "0"
  "StatusMana"        "0"
  "StatusManaRegen"     "0"

  "VisionDaytimeRange"    "800"
  "VisionNighttimeRange"    "800"

  "TeamName"          "DOTA_TEAM_NEUTRALS"
  "CombatClassAttack"     "DOTA_COMBAT_CLASS_ATTACK_BASIC"
  "CombatClassDefend"     "DOTA_COMBAT_CLASS_DEFEND_BASIC"
  "UnitRelationShipClass"   "DOTA_NPC_UNIT_RELATIONSHIP_TYPE_DEFAULT"
}
